Stock,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,Acc_train,Acc_test,Best_score,Score_train,Score_test,Best_parameters
NFLX,0.47651933701657456,0.5158371040723982,0.47844827586206895,0.6025641025641025,0.3008130081300813,0.3821138211382114,0.3693843594009984,0.46766169154228854,0.47651933701657456,0.5158371040723982,-0.03361380069029818,101.28663108768649,90.95681002267855,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
MSFT,0.5732044198895028,0.48868778280542985,0.575107296137339,0.5,0.9710144927536232,0.8849557522123894,0.7223719676549866,0.6389776357827476,0.5732044198895028,0.48868778280542985,-0.0438936517014353,10.115536542575033,13.736295230942217,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
V,0.4281767955801105,0.4796380090497738,0.5,0.5,0.0024154589371980675,0.008695652173913044,0.004807692307692307,0.017094017094017096,0.4281767955801105,0.4796380090497738,-0.04208219025563505,10.981478904643046,11.625348349282671,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
AMZN,0.4488950276243094,0.48868778280542985,0.5,0.0,0.015037593984962405,0.0,0.029197080291970802,0.0,0.4488950276243094,0.48868778280542985,-0.014310720093036947,5.289773387749746,6.539571285735954,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
TWTR,0.5207182320441989,0.5158371040723982,0.5445205479452054,0.46774193548387094,0.7969924812030075,0.5858585858585859,0.646998982706002,0.5201793721973094,0.5207182320441989,0.5158371040723982,-0.02687824528239539,1.5274153001967936,2.8473283223933956,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
AAPL,0.4958563535911602,0.48868778280542985,0.5555555555555556,0.5288461538461539,0.39141414141414144,0.46218487394957986,0.45925925925925926,0.4932735426008969,0.4958563535911602,0.48868778280542985,-0.023280857086355484,2.8490044117867988,4.7296312601726145,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
GOOG,0.5331491712707183,0.5565610859728507,0.5400291120815138,0.5674418604651162,0.9440203562340967,0.9606299212598425,0.6870370370370371,0.7134502923976608,0.5331491712707183,0.5565610859728507,-0.018493020526457588,1.4852437232488132,3.0469486872006435,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
TSLA,0.5207182320441989,0.5746606334841629,0.5227606461086637,0.5751633986928104,0.9417989417989417,0.7521367521367521,0.67233238904627,0.6518518518518518,0.5207182320441989,0.5746606334841629,-0.04382831410625476,94.44763366308563,824.8340245144846,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 1}"
FB,0.47928176795580113,0.4434389140271493,0.5056947608200456,0.4605263157894737,0.581151832460733,0.6306306306306306,0.5408038976857491,0.532319391634981,0.47928176795580113,0.4434389140271493,-0.02657009936243737,22.952365041012296,36.306798614995195,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
NVDA,0.4585635359116022,0.49321266968325794,0.5,0.5384615384615384,0.03316326530612245,0.4666666666666667,0.06220095693779905,0.5,0.4585635359116022,0.49321266968325794,-0.026890269821233437,5.017253860151915,42.44639697323885,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
JNJ,0.48204419889502764,0.4660633484162896,0.5212765957446809,0.4857142857142857,0.3798449612403101,0.29310344827586204,0.4394618834080718,0.3655913978494624,0.48204419889502764,0.4660633484162896,-0.026158363256082822,3.9948344219373695,2.194882737587881,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
UNH,0.5234806629834254,0.5520361990950227,0.5272206303724928,0.5596330275229358,0.9608355091383812,0.976,0.6808510638297872,0.7113702623906705,0.5234806629834254,0.5520361990950227,-0.043099864910695874,32.009809466368864,24.213103565334297,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
XOM,0.4861878453038674,0.502262443438914,0.4772727272727273,0.5048076923076923,0.9210526315789473,0.9375,0.6287425149700598,0.65625,0.4861878453038674,0.502262443438914,-0.013412173772034445,1.2818167441821007,1.1154677190695041,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
JPM,0.494475138121547,0.5113122171945701,0.0,0.0,0.0,0.0,0.0,0.0,0.494475138121547,0.5113122171945701,-0.02932398503934956,5.659177294673558,4.616485390163277,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
CVX,0.4958563535911602,0.45248868778280543,0.4166666666666667,0.5,0.027700831024930747,0.008264462809917356,0.05194805194805195,0.016260162601626018,0.4958563535911602,0.45248868778280543,-0.026822145983619095,4.802108025632826,2.799813439444677,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
