Stock,Accuracy,Score,MSE train,MSE test,Best Parameters
NFLX,0.520361991,-0.012729049,0.009744634,0.008734852,"{'optimizer__learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}"
MSFT,0.511312217,-0.033465911,0.00534171,0.007171444,"{'optimizer__learning_rate': 1e-05, 'epochs': 50, 'batch_size': 32}"
V,0.511312217,-0.036278093,0.005800912,0.006221272,"{'optimizer__learning_rate': 0.1, 'epochs': 50, 'batch_size': 64}"
AMZN,0.488687783,-0.012446731,0.011669316,0.014520472,"{'optimizer__learning_rate': 1e-05, 'epochs': 50, 'batch_size': 32}"
TWTR,0.452488688,-0.023870177,0.005904485,0.010866551,"{'optimizer__learning_rate': 0.2, 'epochs': 50, 'batch_size': 32}"
AAPL,0.529411765,-0.015063709,0.00672846,0.010987854,"{'optimizer__learning_rate': 0.2, 'epochs': 50, 'batch_size': 128}"
GOOG,0.475113122,-0.016719891,0.009312504,0.019236305,"{'optimizer__learning_rate': 0.2, 'epochs': 50, 'batch_size': 32}"
TSLA,0.466063348,-0.098284886,0.004886234,0.039210367,"{'optimizer__learning_rate': 1.0, 'epochs': 50, 'batch_size': 64}"
FB,0.461538462,-0.031915502,0.005639906,0.008882447,"{'optimizer__learning_rate': 1.0, 'epochs': 50, 'batch_size': 128}"
NVDA,0.511312217,-0.020624899,0.009313971,0.083510506,"{'optimizer__learning_rate': 0.4, 'epochs': 50, 'batch_size': 32}"
JNJ,0.49321267,-0.025777967,0.006574837,0.003496885,"{'optimizer__learning_rate': 0.2, 'epochs': 50, 'batch_size': 64}"
UNH,0.43438914,-0.024433305,0.005139997,0.003905411,"{'optimizer__learning_rate': 0.001, 'epochs': 50, 'batch_size': 32}"
XOM,0.524886878,-0.017929295,0.01283145,0.011093982,"{'optimizer__learning_rate': 0.1, 'epochs': 50, 'batch_size': 128}"
JPM,0.466063348,-0.031629955,0.005375695,0.004285438,"{'optimizer__learning_rate': 0.001, 'epochs': 50, 'batch_size': 64}"
CVX,0.547511312,-0.030261654,0.006771608,0.003826922,"{'optimizer__learning_rate': 1.0, 'epochs': 50, 'batch_size': 32}"
MA,0.497737557,-0.025999958,0.007477624,0.008827814,"{'optimizer__learning_rate': 0.001, 'epochs': 50, 'batch_size': 64}"
WMT,0.511312217,-0.014693157,0.005537372,0.004366121,"{'optimizer__learning_rate': 1.0, 'epochs': 50, 'batch_size': 32}"
HD,0.574660633,-0.058957898,0.00400854,0.004644869,"{'optimizer__learning_rate': 0.001, 'epochs': 50, 'batch_size': 64}"
PFE,0.570135747,-0.009535086,0.012055973,0.024475202,"{'optimizer__learning_rate': 0.1, 'epochs': 50, 'batch_size': 32}"
BAC,0.50678733,-0.031411554,0.007029767,0.007236432,"{'optimizer__learning_rate': 0.4, 'epochs': 50, 'batch_size': 64}"
LLY,0.556561086,-0.036485677,0.004805244,0.01374212,"{'optimizer__learning_rate': 1e-05, 'epochs': 50, 'batch_size': 64}"
KO,0.429864253,-0.021721935,0.008317204,0.003868264,"{'optimizer__learning_rate': 0.4, 'epochs': 50, 'batch_size': 32}"
ABBV,0.502262443,-0.036800041,0.003605233,0.002269285,"{'optimizer__learning_rate': 0.1, 'epochs': 50, 'batch_size': 64}"
