Stock,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,Acc_train,Acc_test,Score_train,Score_test
NFLX,0.508965517,0.554054054,0.508965517,0.554054054,1,1,0.674588665,0.713043478,0.508965517,0.554054054,0.508965517,0.554054054
MSFT,0.433103448,0.490990991,0,0,0,0,0,0,0.433103448,0.490990991,0.433103448,0.490990991
V,0.434482759,0.481981982,0,0,0,0,0,0,0.434482759,0.481981982,0.434482759,0.481981982
AMZN,0.550344828,0.513513514,0.550344828,0.513513514,1,1,0.709964413,0.678571429,0.550344828,0.513513514,0.550344828,0.513513514
TWTR,0.453793103,0.554054054,0,0,0,0,0,0,0.453793103,0.554054054,0.453793103,0.554054054
AAPL,0.546206897,0.536036036,0.546206897,0.536036036,1,1,0.706512043,0.697947214,0.546206897,0.536036036,0.546206897,0.536036036
GOOG,0.543448276,0.576576577,0.543448276,0.576576577,1,1,0.704200179,0.731428571,0.543448276,0.576576577,0.543448276,0.576576577
TSLA,0.511724138,0.531531532,0.564102564,0.531531532,0.290237467,1,0.383275261,0.694117647,0.511724138,0.531531532,0.511724138,0.531531532
NVDA,0.459310345,0.463963964,0,0,0,0,0,0,0.459310345,0.463963964,0.459310345,0.463963964
JNJ,0.529655172,0.522522523,0.529655172,0.522522523,1,1,0.69251578,0.686390533,0.529655172,0.522522523,0.529655172,0.522522523
UNH,0.525517241,0.567567568,0.525517241,0.567567568,1,1,0.688969259,0.724137931,0.525517241,0.567567568,0.525517241,0.567567568
XOM,0.466206897,0.509009009,0.467132867,0.509009009,0.982352941,1,0.633175355,0.674626866,0.466206897,0.509009009,0.466206897,0.509009009
JPM,0.502068966,0.509009009,0,0,0,0,0,0,0.502068966,0.509009009,0.502068966,0.509009009
CVX,0.496551724,0.54954955,0.496551724,0.54954955,1,1,0.66359447,0.709302326,0.496551724,0.54954955,0.496551724,0.54954955
MA,0.430344828,0.5,0,0,0,0,0,0,0.430344828,0.5,0.430344828,0.5
WMT,0.493793103,0.477477477,0,0,0,0,0,0,0.493793103,0.477477477,0.493793103,0.477477477
HD,0.467586207,0.400900901,0,0,0,0,0,0,0.467586207,0.400900901,0.467586207,0.400900901
PFE,0.506206897,0.527027027,0.506206897,0.527027027,1,1,0.672161172,0.690265487,0.506206897,0.527027027,0.506206897,0.527027027
BAC,0.510344828,0.558558559,0.510344828,0.558558559,1,1,0.675799087,0.716763006,0.510344828,0.558558559,0.510344828,0.558558559
LLY,0.544827586,0.54954955,0.544827586,0.54954955,1,1,0.705357143,0.709302326,0.544827586,0.54954955,0.544827586,0.54954955
KO,0.517241379,0.558558559,0.517241379,0.558558559,1,1,0.681818182,0.716763006,0.517241379,0.558558559,0.517241379,0.558558559
ABBV,0.475862069,0.418918919,0,0,0,0,0,0,0.475862069,0.418918919,0.475862069,0.418918919
