Stock,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,Acc_train,Acc_test,Best_score,Score_train,Score_test,Best_parameters
V,0.565517241,0.518018018,0.565517241,0.518018018,1,1,0.72246696,0.682492582,0.565517241,0.518018018,0.560005944,0.565517241,0.518018018,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
AMZN,0.499310345,0.522522523,0.532142857,0.54,0.746867168,0.473684211,0.621480709,0.504672897,0.499310345,0.522522523,0.550346925,0.499310345,0.522522523,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 2}"
TWTR,0.548965517,0.509009009,0.547717842,0.307692308,1,0.080808081,0.707774799,0.128,0.548965517,0.509009009,0.547592104,0.548965517,0.509009009,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
AAPL,0.548965517,0.486486486,0.547717842,0.540983607,1,0.277310924,0.707774799,0.366666667,0.548965517,0.486486486,0.546208978,0.548965517,0.486486486,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
GOOG,0.529655172,0.423423423,0.548623853,0,0.758883249,0,0.63684771,0,0.529655172,0.423423423,0.514522822,0.529655172,0.423423423,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
TSLA,0.526896552,0.531531532,0.572,0.531531532,0.377308707,1,0.454689984,0.694117647,0.526896552,0.531531532,0.526890939,0.526896552,0.531531532,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
NVDA,0.540689655,0.536036036,0.540689655,0.536036036,1,1,0.701880036,0.697947214,0.540689655,0.536036036,0.513139696,0.540689655,0.536036036,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
JNJ,0.529655172,0.536036036,0.529655172,0.675675676,1,0.215517241,0.69251578,0.326797386,0.529655172,0.536036036,0.52409611,0.529655172,0.536036036,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
UNH,0.526896552,0.445945946,0.528106509,0.636363636,0.937007874,0.055555556,0.675496689,0.102189781,0.526896552,0.445945946,0.51860933,0.526896552,0.445945946,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
XOM,0.531034483,0.490990991,0,0,0,0,0,0,0.531034483,0.490990991,0.531034601,0.531034483,0.490990991,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
JPM,0.515862069,0.509009009,0.537313433,0,0.199445983,0,0.290909091,0,0.515862069,0.509009009,0.514522822,0.515862069,0.509009009,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
CVX,0.503448276,0.45045045,0,0,0,0,0,0,0.503448276,0.45045045,0.517277643,0.503448276,0.45045045,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
MA,0.569655172,0.5,0.569655172,0.5,1,1,0.725834798,0.666666667,0.569655172,0.5,0.56413246,0.569655172,0.5,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
WMT,0.493793103,0.477477477,0,0,0,0,0,0,0.493793103,0.477477477,0.526850931,0.493793103,0.477477477,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
HD,0.515862069,0.459459459,0.528455285,0.62745098,0.841968912,0.240601504,0.649350649,0.347826087,0.515862069,0.459459459,0.506224066,0.515862069,0.459459459,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 2}"
PFE,0.491034483,0.54954955,0.497816594,0.595505618,0.621253406,0.452991453,0.552727273,0.514563107,0.491034483,0.54954955,0.513076826,0.491034483,0.54954955,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
BAC,0.522758621,0.441441441,0.548,0,0.37027027,0,0.441935484,0,0.522758621,0.441441441,0.507515746,0.522758621,0.441441441,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 1}"
LLY,0.571034483,0.45045045,0.573684211,0,0.827848101,0,0.677720207,0,0.571034483,0.45045045,0.566818696,0.571034483,0.45045045,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
KO,0.482758621,0.441441441,0,0,0,0,0,0,0.482758621,0.441441441,0.533812284,0.482758621,0.441441441,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
ABBV,0.493793103,0.418918919,0.558558559,0,0.163157895,0,0.252545825,0,0.493793103,0.418918919,0.528274065,0.493793103,0.418918919,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
