Stock,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,Acc_train,Acc_test,Best_score,Score_train,Score_test,Best_parameters
NFLX,0.528275862,0.533936652,0.522222222,0.548543689,0.889189189,0.918699187,0.658,0.686930091,0.528275862,0.533936652,0.918816067,143.1697815,174.1734538,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
MSFT,0.531034483,0.497737557,0.648221344,0.75,0.395180723,0.026548673,0.491017964,0.051282051,0.531034483,0.497737557,0.91488532,11.99870986,317.485434,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
V,0.540689655,0.475113122,0.645390071,0.461538462,0.438554217,0.052173913,0.522238164,0.09375,0.540689655,0.475113122,0.874657247,10.71087988,20.42621761,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
AMZN,0.495172414,0.502262443,0.567460317,0.529411765,0.3575,0.238938053,0.438650307,0.329268293,0.495172414,0.502262443,0.877279512,9.111511482,15.40261492,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
TWTR,0.531034483,0.497737557,0.585014409,0.421052632,0.50877193,0.323232323,0.544235925,0.365714286,0.531034483,0.497737557,0.94366193,1.445020808,3.047200218,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
AAPL,0.506206897,0.466063348,0.59798995,0.555555556,0.299748111,0.042016807,0.399328859,0.078125,0.506206897,0.466063348,0.939572977,4.614943389,37.11345585,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
GOOG,0.56,0.452488688,0.562189055,0.65,0.860406091,0.102362205,0.68004012,0.176870748,0.56,0.452488688,0.905172768,1.736089215,113.1345392,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
TSLA,0.511724138,0.538461538,0.52688172,0.536231884,0.646437995,0.948717949,0.58056872,0.685185185,0.511724138,0.538461538,0.780987631,186.2209553,2849.27084,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 1}"
NVDA,0.542068966,0.470588235,0.615969582,0.6,0.41221374,0.075,0.493902439,0.133333333,0.542068966,0.470588235,0.918837017,5.049445734,9228.097649,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
JNJ,0.562758621,0.466063348,0.559663866,0.485714286,0.858247423,0.293103448,0.677517803,0.365591398,0.562758621,0.466063348,0.868297569,3.72596085,2.651720191,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
UNH,0.548965517,0.488687783,0.557142857,0.657894737,0.712793734,0.2,0.625429553,0.306748466,0.548965517,0.488687783,0.933538329,29.73003057,86.58220886,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
XOM,0.531034483,0.488687783,0.505154639,0.454545455,0.286549708,0.044642857,0.365671642,0.081300813,0.531034483,0.488687783,0.862765298,1.746943195,3.676857832,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
JPM,0.528275862,0.497737557,0.535714286,0.4,0.491803279,0.055555556,0.512820513,0.097560976,0.528275862,0.497737557,0.914315177,5.733745528,16.63737957,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
CVX,0.543448276,0.515837104,0.53164557,0.558333333,0.698060942,0.553719008,0.603592814,0.556016598,0.543448276,0.515837104,0.729609707,4.989225239,3.807832493,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
MA,0.569655172,0.447963801,0.587628866,0.467065868,0.826086957,0.702702703,0.686746988,0.561151079,0.569655172,0.447963801,0.850663585,50.48777745,65.68899265,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
WMT,0.517241379,0.475113122,0.532374101,0.486486486,0.402173913,0.156521739,0.458204334,0.236842105,0.517241379,0.475113122,0.893257072,3.803412228,3.819654777,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
HD,0.51862069,0.393665158,0.559375,0.454545455,0.4625323,0.075757576,0.506364922,0.12987013,0.51862069,0.393665158,0.937709681,15.48651263,110.9924422,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
PFE,0.522758621,0.470588235,0.618705036,0.5,0.226912929,0.05982906,0.332046332,0.106870229,0.522758621,0.470588235,0.935374858,0.343674227,1.811308383,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
BAC,0.543448276,0.447963801,0.542704626,0.588235294,0.80474934,0.08,0.648246546,0.14084507,0.543448276,0.447963801,0.929526049,0.396902691,1.141709336,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
LLY,0.535172414,0.461538462,0.571428571,0.75,0.621553885,0.024793388,0.595438175,0.048,0.535172414,0.461538462,0.878443112,9.056920056,248.9991738,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
KO,0.555862069,0.547511312,0.545878694,0.559241706,0.921259843,0.944,0.685546875,0.702380952,0.555862069,0.547511312,0.91811133,0.786871258,0.467618834,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
ABBV,0.475862069,0.416289593,0.532258065,0,0.0859375,0,0.147982063,0,0.475862069,0.416289593,0.932417902,3.632866538,3.270689132,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 2}"
