Stock,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,Acc_train,Acc_test,Best_score,Score_train,Score_test,Best_parameters
NFLX,0.510344828,0.556561086,0.510344828,0.556561086,1,1,0.675799087,0.715116279,0.510344828,0.556561086,0.824399815,232.3158146,227.9053423,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
MSFT,0.572413793,0.511312217,0.572413793,0.511312217,1,1,0.728070175,0.676646707,0.572413793,0.511312217,0.759470463,16.55285318,559.5283903,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
V,0.572413793,0.520361991,0.572413793,0.520361991,1,1,0.728070175,0.68452381,0.572413793,0.520361991,0.84994457,19.25068032,59.09140766,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
AMZN,0.551724138,0.511312217,0.551724138,0.511312217,1,1,0.711111111,0.676646707,0.551724138,0.511312217,0.793338558,17.78109471,28.29895371,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
TWTR,0.550344828,0.447963801,0.550344828,0.447963801,1,1,0.709964413,0.61875,0.550344828,0.447963801,0.872638608,2.351449369,4.202446328,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
AAPL,0.547586207,0.538461538,0.547586207,0.538461538,1,1,0.707664884,0.7,0.547586207,0.538461538,0.889555093,5.761442255,25.29820002,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
GOOG,0.543448276,0.574660633,0.543448276,0.574660633,1,1,0.704200179,0.729885057,0.543448276,0.574660633,0.844574254,2.232757337,378.9566359,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
TSLA,0.522758621,0.529411765,0.522758621,0.529411765,1,1,0.686594203,0.692307692,0.522758621,0.529411765,0.584611142,296.5079912,3844.475009,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
FB,0.528275862,0.502262443,0.528275862,0.502262443,1,1,0.69133574,0.668674699,0.528275862,0.502262443,0.793582188,42.31808189,76.45584356,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
NVDA,0.542068966,0.542986425,0.542068966,0.542986425,1,1,0.703041145,0.703812317,0.542068966,0.542986425,0.859836095,9.542963179,3207.617296,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
JNJ,0.535172414,0.524886878,0.535172414,0.524886878,1,1,0.697214735,0.6884273,0.535172414,0.524886878,0.709300918,7.228378527,24.82015655,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
UNH,0.528275862,0.56561086,0.528275862,0.56561086,1,1,0.69133574,0.722543353,0.528275862,0.56561086,0.833009966,56.4369849,1429.275663,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
XOM,0.471724138,0.50678733,0.471724138,0.50678733,1,1,0.641049672,0.672672673,0.471724138,0.50678733,0.734793691,4.17648165,7.356796092,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
JPM,0.504827586,0.488687783,0.504827586,0.488687783,1,1,0.670944088,0.656534954,0.504827586,0.488687783,0.822030527,9.237587179,94.82917806,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
CVX,0.497931034,0.547511312,0.497931034,0.547511312,1,1,0.664825046,0.707602339,0.497931034,0.547511312,0.623971234,7.77740677,5.617268152,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
MA,0.571034483,0.502262443,0.571034483,0.502262443,1,1,0.726953468,0.668674699,0.571034483,0.502262443,0.690675521,67.97738135,131.8703069,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
WMT,0.507586207,0.520361991,0.507586207,0.520361991,1,1,0.673376029,0.68452381,0.507586207,0.520361991,0.844075445,6.281320753,7.714549287,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
HD,0.533793103,0.597285068,0.533793103,0.597285068,1,1,0.696043165,0.747875354,0.533793103,0.597285068,0.880026383,28.36729376,89.80000929,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
PFE,0.522758621,0.529411765,0.522758621,0.529411765,1,1,0.686594203,0.692307692,0.522758621,0.529411765,0.840779203,0.584043425,3.109996845,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
BAC,0.522758621,0.56561086,0.522758621,0.56561086,1,1,0.686594203,0.722543353,0.522758621,0.56561086,0.86283905,0.690355266,5.509666109,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
LLY,0.550344828,0.547511312,0.550344828,0.547511312,1,1,0.709964413,0.707602339,0.550344828,0.547511312,0.784943028,12.90789276,945.0389673,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
KO,0.525517241,0.56561086,0.525517241,0.56561086,1,1,0.688969259,0.722543353,0.525517241,0.56561086,0.838316298,0.829391876,0.507831183,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
ABBV,0.529655172,0.583710407,0.529655172,0.583710407,1,1,0.69251578,0.737142857,0.529655172,0.583710407,0.871207701,6.686852284,3.607515685,"{'batch_size': 64, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
