Stock,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,Acc_train,Acc_test,Best_score,Score_train,Score_test,Best_parameters
,,,,,,,,,,,,,,
CVX,0.493093923,0.529411765,0.484848485,0.613333333,0.265927978,0.380165289,0.343470483,0.469387755,0.493093923,0.529411765,-0.028697631,4.768174815,2.630129615,"{'batch_size': 128, 'epochs': 30, 'optimizer__learning_rate': 2.5}"
NFLX,0.509668508,0.556561086,0.509668508,0.556561086,1,1,0.675205855,0.715116279,0.509668508,0.556561086,-0.016584367,102.3684994,91.99677921,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
MSFT,0.571823204,0.511312217,0.571823204,0.511312217,1,1,0.727592267,0.676646707,0.571823204,0.511312217,-0.027683585,10.74424014,14.0110186,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
V,0.428176796,0.479638009,0,0,0,0,0,0,0.428176796,0.479638009,-0.026995609,11.37796633,12.02905483,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
AMZN,0.516574586,0.511312217,0.54613936,0.518796992,0.726817043,0.610619469,0.623655914,0.56097561,0.516574586,0.511312217,-0.014285947,5.162815321,6.469716927,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
TWTR,0.504143646,0.524886878,0.547393365,0.465909091,0.578947368,0.414141414,0.56272838,0.438502674,0.504143646,0.524886878,-0.01976566,1.525233537,2.838383637,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
AAPL,0.527624309,0.529411765,0.558189655,0.555555556,0.654040404,0.630252101,0.602325581,0.590551181,0.527624309,0.529411765,-0.006075328,2.83974713,4.647582541,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 2}"
GOOG,0.537292818,0.56561086,0.541666667,0.571428571,0.959287532,0.976377953,0.692378329,0.720930233,0.537292818,0.56561086,-0.013469752,1.485863032,3.044788766,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
TSLA,0.541436464,0.552036199,0.595833333,0.572580645,0.378306878,0.606837607,0.462783172,0.589211618,0.541436464,0.552036199,-0.023574473,93.72649933,803.7933177,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 2}"
FB,0.479281768,0.416289593,0.513661202,0.416666667,0.246073298,0.405405405,0.332743363,0.410958904,0.479281768,0.416289593,-0.020677285,23.13984253,36.30384825,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 2}"
NVDA,0.537292818,0.529411765,0.540311174,0.537383178,0.974489796,0.958333333,0.695177434,0.688622754,0.537292818,0.529411765,-0.022828399,4.838884242,42.6032277,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 2}"
JNJ,0.464088398,0.484162896,0.497076023,0.520833333,0.219638243,0.215517241,0.304659498,0.304878049,0.464088398,0.484162896,-0.021848619,4.003368217,2.165736477,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
UNH,0.462707182,0.520361991,0.49339207,0.562913907,0.584856397,0.68,0.535244922,0.615942029,0.462707182,0.520361991,-0.034091305,32.44915953,23.08180203,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
XOM,0.526243094,0.515837104,0.497461929,0.528735632,0.286549708,0.410714286,0.363636364,0.462311558,0.526243094,0.515837104,-0.00911465,1.266407623,1.110686452,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
JPM,0.486187845,0.461538462,0.493891798,0.467455621,0.775342466,0.731481481,0.603411514,0.570397112,0.486187845,0.461538462,-0.024213454,5.326386167,4.25994981,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
CVX,0.501381215,0.447963801,0.5,0.4,0.04432133,0.016528926,0.081424936,0.031746032,0.501381215,0.447963801,-0.029415007,4.923688312,2.902048837,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
MA,0.432320442,0.461538462,0.511627907,0.404761905,0.10653753,0.153153153,0.176352705,0.222222222,0.432320442,0.461538462,-0.018704593,33.33297006,39.80330241,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.1}"
WMT,0.494475138,0.538461538,0.501133787,0.552,0.602179837,0.6,0.547029703,0.575,0.494475138,0.538461538,-0.024372876,2.982929367,2.263034498,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
HD,0.476519337,0.443438914,0.58974359,0.609756098,0.059585492,0.189393939,0.108235294,0.289017341,0.476519337,0.443438914,-0.01861631,15.92787746,19.38358973,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.2}"
PFE,0.473756906,0.50678733,0.485148515,0.551282051,0.12962963,0.367521368,0.204592902,0.441025641,0.473756906,0.50678733,-0.015339164,0.335560961,0.685257575,"{'batch_size': 128, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
BAC,0.526243094,0.542986425,0.525179856,0.555555556,0.965608466,0.96,0.680335508,0.703812317,0.526243094,0.542986425,-0.011551555,0.392888949,0.399469151,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1}"
LLY,0.531767956,0.552036199,0.550774527,0.5625,0.804020101,0.818181818,0.653728294,0.666666667,0.531767956,0.552036199,-0.018544411,6.246230011,17.91928268,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 1e-05}"
KO,0.522099448,0.56561086,0.52407932,0.56561086,0.973684211,1,0.681399632,0.722543353,0.522099448,0.56561086,-0.027444725,0.564842033,0.259966065,"{'batch_size': 32, 'epochs': 50, 'optimizer__learning_rate': 0.4}"
ABBV,0.504143646,0.56561086,0.524291498,0.590163934,0.676240209,0.837209302,0.590649943,0.692307692,0.504143646,0.56561086,-0.02133709,3.072741283,1.930662951,"{'batch_size': 64, 'epochs': 50, 'optimizer__learning_rate': 0.001}"
